Time,Entity2,Entity2,Entity2,Entity2,Entity2,Entity2,Entity1,Entity1,Entity1,Entity1,Entity1,Entity1,Entity0,Entity0,Entity0,Entity0,Entity0,Entity0,Entity4,Entity4,Entity4,Entity4,Entity4,Entity4,Entity3,Entity3,Entity3,Entity3,Entity3,Entity3
0.0,4.9873962,7.979418,-5.5055804,-2.7764316,-3.2355018,9.025719,-3.663959,-7.542035,4.025363,-4.3626137,-2.111589,0.20056152,8.891462,2.084116,4.3781176,-0.944726,3.5601177,-0.19178295,-9.166839,-9.666011,3.0527363,-3.882186,7.1630383,6.560936,-6.650939,4.767681,0.6926546,5.2430363,-9.714815,1.703557
0.1,4.709753,7.6558676,-4.6030087,-2.777161,-3.2348742,9.02572,-4.10022,-7.753194,4.045419,-4.3630924,-2.110603,0.20056102,8.796989,2.4401276,4.358939,-0.943918,3.5603313,-0.19178352,-9.555058,-8.949707,3.7088299,-3.8805707,7.1639156,6.5609355,-6.1266356,3.7961998,0.8630103,5.2408385,-9.716,1.7035569
0.2,4.1543207,7.008893,-2.797865,-2.7786195,-3.233619,9.025721,-4.972839,-8.175314,4.085531,-4.36405,-2.108631,0.20055999,8.608206,3.1521938,4.3205824,-0.942302,3.560758,-0.19178464,-10.331172,-7.516924,5.021017,-3.8773398,7.1656694,6.5609345,-5.078468,1.8530002,1.2037216,5.236442,-9.718369,1.7035567
0.3,3.3203945,6.0391006,-0.09014845,-2.780807,-3.2317343,9.025721,-6.2822776,-8.807443,4.1456985,-4.3654847,-2.1056716,0.20055841,8.325892,4.220521,4.2630467,-0.93987787,3.5613961,-0.19178627,-11.493621,-5.3668137,6.989297,-3.8724933,7.1682963,6.560932,-3.5085616,-1.0630629,1.7147886,5.229847,-9.721917,1.7035561
0.4,2.2073917,4.746994,3.5201395,-2.7837234,-3.229219,9.02572,-8.028918,-9.648789,4.2259216,-4.3673973,-2.1017244,0.20055626,7.9506965,5.645277,4.1863317,-0.9366455,3.5622442,-0.19178842,-13.041111,-2.4986794,9.613668,-3.8660302,7.171794,6.560928,-1.4186758,-4.952932,2.3962107,5.2210526,-9.72664,1.703555
0.5,0.81450915,3.1332664,8.032998,-2.7873676,-3.226071,9.025716,-10.213285,-10.698269,4.3261986,-4.3697867,-2.0967877,0.20055354,7.483505,7.426695,4.0904365,-0.9326048,3.5633,-0.19179106,-14.971863,1.0884397,12.89413,-3.8579504,7.1761575,6.5609207,1.1887712,-9.817902,3.2479875,5.2100577,-9.7325325,1.7035531
0.6,-0.85927206,1.1988006,13.448425,-2.7917395,-3.2222881,9.025708,-12.83605,-11.954496,4.44653,-4.3726525,-2.0908604,0.20055018,6.925451,9.565067,3.9753609,-0.9277555,3.5645611,-0.19179414,-17.283615,5.3957605,16.830679,-3.848253,7.181382,6.5609093,4.3106995,-15.659618,4.2701187,5.1968617,-9.739588,1.7035502
0.70000005,-2.81519,-1.0553278,19.766417,-2.7968388,-3.2178679,9.025693,-15.898022,-13.4157915,4.5869136,-4.3759933,-2.0839405,0.20054615,6.277909,12.060748,3.8411038,-0.92209744,3.5660245,-0.19179763,-19.973621,10.424756,21.42331,-3.8369372,7.1874614,6.560892,7.9433694,-22.480068,5.4626026,5.1814637,-9.747798,1.7035459
0.8000001,-5.0550404,-3.6275558,26.986963,-2.802664,-3.2128057,9.025669,-19.400373,-15.079712,4.747349,-4.379808,-2.076025,0.20054138,5.542872,14.9142475,3.687664,-0.91563046,3.5676856,-0.19180147,-23.037886,16.177557,26.672012,-3.8240018,7.1943865,6.5608673,12.081351,-30.28213,6.825437,5.1638618,-9.75715,1.7035396
0.9000001,-7.5804963,-6.5164175,35.11005,-2.8092148,-3.2070982,9.025633,-23.344202,-16.943975,4.9278336,-4.384095,-2.067112,0.20053582,4.7222013,18.126032,3.5150409,-0.90835416,3.5695403,-0.1918056,-26.472694,22.656132,32.576775,-3.8094456,7.2021494,6.5608335,16.719582,-39.06846,8.358619,5.1440544,-9.7676325,1.7035308
